"it","im","dep","meth","out","event_type"
2,1,"driving","pmm","stop_wdl_exp_combined.C","dropped_predictor"
2,1,"balance","pmm","stop_wdl_exp_combined.C","dropped_predictor"
2,1,"falls","pmm","stop_wdl_exp_combined.C","dropped_predictor"
2,1,"indication","pmm","stop_wdl_exp_combined.C","dropped_predictor"
2,1,"efficacy","pmm","stop_wdl_exp_combined.C","dropped_predictor"
2,1,"alternative","pmm","stop_wdl_exp_combined.C","dropped_predictor"
2,1,"inf_soc","pmm","stop_wdl_exp_combined.C","dropped_predictor"
2,1,"inf_rphc","pmm","stop_wdl_exp_combined.C","dropped_predictor"
2,1,"interactions","pmm","stop_wdl_exp_combined.C","dropped_predictor"
2,1,"reduc","pmm","stop_wdl_exp_combined.C","dropped_predictor"
2,1,"cost","pmm","stop_wdl_exp_combined.C","dropped_predictor"
2,1,"dbas_3","pmm","stop_wdl_exp_combined.C","dropped_predictor"
2,1,"dbas_4","pmm","stop_wdl_exp_combined.C","dropped_predictor"
2,1,"dbas_5","pmm","stop_wdl_exp_combined.C","dropped_predictor"
2,1,"dbas_6","pmm","stop_wdl_exp_combined.C","dropped_predictor"
2,1,"dbas_7","pmm","stop_wdl_exp_combined.C","dropped_predictor"
2,1,"dbas_8","pmm","stop_wdl_exp_combined.C","dropped_predictor"
2,1,"dbas_9","pmm","stop_wdl_exp_combined.C","dropped_predictor"
2,1,"dbas_11","pmm","stop_wdl_exp_combined.C","dropped_predictor"
2,1,"dbas_13","pmm","stop_wdl_exp_combined.C","dropped_predictor"
2,1,"dbas_14","pmm","stop_wdl_exp_combined.C","dropped_predictor"
2,1,"dbas_15","pmm","stop_wdl_exp_combined.C","dropped_predictor"
2,1,"dbas_16","pmm","stop_wdl_exp_combined.C","dropped_predictor"
2,1,"nervous","pmm","stop_wdl_exp_combined.C","dropped_predictor"
2,1,"imagination","pmm","stop_wdl_exp_combined.C","dropped_predictor"
2,1,"surps1_r","pmm","stop_wdl_exp_combined.C","dropped_predictor"
2,1,"surps4_r","pmm","stop_wdl_exp_combined.C","dropped_predictor"
2,1,"surps5","pmm","stop_wdl_exp_combined.C","dropped_predictor"
2,1,"surps10","pmm","stop_wdl_exp_combined.C","dropped_predictor"
2,1,"surps11","pmm","stop_wdl_exp_combined.C","dropped_predictor"
2,1,"surps14","pmm","stop_wdl_exp_combined.C","dropped_predictor"
2,1,"surps15","pmm","stop_wdl_exp_combined.C","dropped_predictor"
2,1,"surps17","pmm","stop_wdl_exp_combined.C","dropped_predictor"
2,1,"surps18","pmm","stop_wdl_exp_combined.C","dropped_predictor"
2,1,"surps20_r","pmm","stop_wdl_exp_combined.C","dropped_predictor"
2,1,"surps21","pmm","stop_wdl_exp_combined.C","dropped_predictor"
2,1,"surps22","pmm","stop_wdl_exp_combined.C","dropped_predictor"
2,1,"surps23_r","pmm","stop_wdl_exp_combined.C","dropped_predictor"
2,1,"ciss3","pmm","stop_wdl_exp_combined.C","dropped_predictor"
2,1,"ciss5","pmm","stop_wdl_exp_combined.C","dropped_predictor"
2,1,"ciss10","pmm","stop_wdl_exp_combined.C","dropped_predictor"
2,1,"ciss12","pmm","stop_wdl_exp_combined.C","dropped_predictor"
2,1,"ciss14","pmm","stop_wdl_exp_combined.C","dropped_predictor"
2,1,"ciss17","pmm","stop_wdl_exp_combined.C","dropped_predictor"
2,1,"ciss20","pmm","stop_wdl_exp_combined.C","dropped_predictor"
3,1,"side_effects_4","pmm","stop_wdl_exp_combined.C","dropped_predictor"
3,1,"safety_3","pmm","stop_wdl_exp_combined.C","dropped_predictor"
3,1,"safety_4","pmm","stop_wdl_exp_combined.C","dropped_predictor"
3,1,"dependence_1","pmm","stop_wdl_exp_combined.C","dropped_predictor"
3,1,"dependence_2","pmm","stop_wdl_exp_combined.C","dropped_predictor"
3,1,"dependence_3","pmm","stop_wdl_exp_combined.C","dropped_predictor"
3,1,"motivation_1","pmm","stop_wdl_exp_combined.C","dropped_predictor"
3,1,"motivation_2","pmm","stop_wdl_exp_combined.C","dropped_predictor"
3,1,"motivation_3","pmm","stop_wdl_exp_combined.C","dropped_predictor"
3,1,"desires_2","pmm","stop_wdl_exp_combined.C","dropped_predictor"
3,1,"capability_1","pmm","stop_wdl_exp_combined.C","dropped_predictor"
3,1,"capability","pmm","stop_wdl_exp_combined.C","dropped_predictor"
3,1,"benefit_4","pmm","stop_wdl_exp_combined.C","dropped_predictor"
3,1,"benefit_5","pmm","stop_wdl_exp_combined.C","dropped_predictor"
3,1,"benefit_dep","pmm","stop_wdl_exp_combined.C","dropped_predictor"
3,1,"memory","pmm","stop_wdl_exp_combined.C","dropped_predictor"
3,1,"thinking","pmm","stop_wdl_exp_combined.C","dropped_predictor"
3,1,"activities","pmm","stop_wdl_exp_combined.C","dropped_predictor"
3,1,"socialize","pmm","stop_wdl_exp_combined.C","dropped_predictor"
3,1,"driving","pmm","stop_wdl_exp_combined.C","dropped_predictor"
3,1,"balance","pmm","stop_wdl_exp_combined.C","dropped_predictor"
3,1,"falls","pmm","stop_wdl_exp_combined.C","dropped_predictor"
3,1,"indication","pmm","stop_wdl_exp_combined.C","dropped_predictor"
3,1,"efficacy","pmm","stop_wdl_exp_combined.C","dropped_predictor"
3,1,"alternative","pmm","stop_wdl_exp_combined.C","dropped_predictor"
3,1,"inf_soc","pmm","stop_wdl_exp_combined.C","dropped_predictor"
3,1,"inf_rphc","pmm","stop_wdl_exp_combined.C","dropped_predictor"
3,1,"interactions","pmm","stop_wdl_exp_combined.C","dropped_predictor"
3,1,"reduc","pmm","stop_wdl_exp_combined.C","dropped_predictor"
3,1,"cost","pmm","stop_wdl_exp_combined.C","dropped_predictor"
3,1,"dbas_3","pmm","stop_wdl_exp_combined.C","dropped_predictor"
3,1,"dbas_4","pmm","stop_wdl_exp_combined.C","dropped_predictor"
3,1,"dbas_5","pmm","stop_wdl_exp_combined.C","dropped_predictor"
3,1,"dbas_6","pmm","stop_wdl_exp_combined.C","dropped_predictor"
3,1,"dbas_7","pmm","stop_wdl_exp_combined.C","dropped_predictor"
3,1,"dbas_8","pmm","stop_wdl_exp_combined.C","dropped_predictor"
3,1,"dbas_9","pmm","stop_wdl_exp_combined.C","dropped_predictor"
3,1,"dbas_11","pmm","stop_wdl_exp_combined.C","dropped_predictor"
3,1,"dbas_13","pmm","stop_wdl_exp_combined.C","dropped_predictor"
3,1,"dbas_14","pmm","stop_wdl_exp_combined.C","dropped_predictor"
3,1,"dbas_15","pmm","stop_wdl_exp_combined.C","dropped_predictor"
3,1,"dbas_16","pmm","stop_wdl_exp_combined.C","dropped_predictor"
3,1,"nervous","pmm","stop_wdl_exp_combined.C","dropped_predictor"
3,1,"imagination","pmm","stop_wdl_exp_combined.C","dropped_predictor"
3,1,"surps1_r","pmm","stop_wdl_exp_combined.C","dropped_predictor"
3,1,"surps4_r","pmm","stop_wdl_exp_combined.C","dropped_predictor"
3,1,"surps5","pmm","stop_wdl_exp_combined.C","dropped_predictor"
3,1,"surps10","pmm","stop_wdl_exp_combined.C","dropped_predictor"
3,1,"surps11","pmm","stop_wdl_exp_combined.C","dropped_predictor"
3,1,"surps14","pmm","stop_wdl_exp_combined.C","dropped_predictor"
3,1,"surps15","pmm","stop_wdl_exp_combined.C","dropped_predictor"
3,1,"surps17","pmm","stop_wdl_exp_combined.C","dropped_predictor"
3,1,"surps18","pmm","stop_wdl_exp_combined.C","dropped_predictor"
3,1,"surps20_r","pmm","stop_wdl_exp_combined.C","dropped_predictor"
3,1,"surps21","pmm","stop_wdl_exp_combined.C","dropped_predictor"
3,1,"surps22","pmm","stop_wdl_exp_combined.C","dropped_predictor"
3,1,"surps23_r","pmm","stop_wdl_exp_combined.C","dropped_predictor"
3,1,"ciss3","pmm","stop_wdl_exp_combined.C","dropped_predictor"
3,1,"ciss5","pmm","stop_wdl_exp_combined.C","dropped_predictor"
3,1,"ciss10","pmm","stop_wdl_exp_combined.C","dropped_predictor"
3,1,"ciss12","pmm","stop_wdl_exp_combined.C","dropped_predictor"
3,1,"ciss14","pmm","stop_wdl_exp_combined.C","dropped_predictor"
3,1,"ciss17","pmm","stop_wdl_exp_combined.C","dropped_predictor"
3,1,"ciss20","pmm","stop_wdl_exp_combined.C","dropped_predictor"
4,1,"side_effects_4","pmm","stop_wdl_exp_combined.C","dropped_predictor"
4,1,"safety_3","pmm","stop_wdl_exp_combined.C","dropped_predictor"
4,1,"safety_4","pmm","stop_wdl_exp_combined.C","dropped_predictor"
4,1,"dependence_1","pmm","stop_wdl_exp_combined.C","dropped_predictor"
4,1,"dependence_2","pmm","stop_wdl_exp_combined.C","dropped_predictor"
4,1,"dependence_3","pmm","stop_wdl_exp_combined.C","dropped_predictor"
4,1,"motivation_1","pmm","stop_wdl_exp_combined.C","dropped_predictor"
4,1,"motivation_2","pmm","stop_wdl_exp_combined.C","dropped_predictor"
4,1,"motivation_3","pmm","stop_wdl_exp_combined.C","dropped_predictor"
4,1,"desires_2","pmm","stop_wdl_exp_combined.C","dropped_predictor"
4,1,"capability_1","pmm","stop_wdl_exp_combined.C","dropped_predictor"
4,1,"capability","pmm","stop_wdl_exp_combined.C","dropped_predictor"
4,1,"benefit_4","pmm","stop_wdl_exp_combined.C","dropped_predictor"
4,1,"benefit_5","pmm","stop_wdl_exp_combined.C","dropped_predictor"
4,1,"benefit_dep","pmm","stop_wdl_exp_combined.C","dropped_predictor"
4,1,"memory","pmm","stop_wdl_exp_combined.C","dropped_predictor"
4,1,"thinking","pmm","stop_wdl_exp_combined.C","dropped_predictor"
4,1,"activities","pmm","stop_wdl_exp_combined.C","dropped_predictor"
4,1,"socialize","pmm","stop_wdl_exp_combined.C","dropped_predictor"
4,1,"driving","pmm","stop_wdl_exp_combined.C","dropped_predictor"
4,1,"balance","pmm","stop_wdl_exp_combined.C","dropped_predictor"
4,1,"falls","pmm","stop_wdl_exp_combined.C","dropped_predictor"
4,1,"indication","pmm","stop_wdl_exp_combined.C","dropped_predictor"
4,1,"efficacy","pmm","stop_wdl_exp_combined.C","dropped_predictor"
4,1,"alternative","pmm","stop_wdl_exp_combined.C","dropped_predictor"
4,1,"inf_soc","pmm","stop_wdl_exp_combined.C","dropped_predictor"
4,1,"inf_rphc","pmm","stop_wdl_exp_combined.C","dropped_predictor"
4,1,"interactions","pmm","stop_wdl_exp_combined.C","dropped_predictor"
4,1,"reduc","pmm","stop_wdl_exp_combined.C","dropped_predictor"
4,1,"cost","pmm","stop_wdl_exp_combined.C","dropped_predictor"
4,1,"dbas_3","pmm","stop_wdl_exp_combined.C","dropped_predictor"
4,1,"dbas_4","pmm","stop_wdl_exp_combined.C","dropped_predictor"
4,1,"dbas_5","pmm","stop_wdl_exp_combined.C","dropped_predictor"
4,1,"dbas_6","pmm","stop_wdl_exp_combined.C","dropped_predictor"
4,1,"dbas_7","pmm","stop_wdl_exp_combined.C","dropped_predictor"
4,1,"dbas_8","pmm","stop_wdl_exp_combined.C","dropped_predictor"
4,1,"dbas_9","pmm","stop_wdl_exp_combined.C","dropped_predictor"
4,1,"dbas_11","pmm","stop_wdl_exp_combined.C","dropped_predictor"
4,1,"dbas_13","pmm","stop_wdl_exp_combined.C","dropped_predictor"
4,1,"dbas_14","pmm","stop_wdl_exp_combined.C","dropped_predictor"
4,1,"dbas_15","pmm","stop_wdl_exp_combined.C","dropped_predictor"
4,1,"dbas_16","pmm","stop_wdl_exp_combined.C","dropped_predictor"
4,1,"nervous","pmm","stop_wdl_exp_combined.C","dropped_predictor"
